Time (s),"""C18""","""C17""","""C16""","""C15"""
-0.0002,-0.4,1.2000000000000002,1.2000000000000002,1.2000000000000002
-0.0001999,-2.0,0.4,-0.4,1.2000000000000002
-0.0001998,-0.4,-0.4,1.2000000000000002,1.2000000000000002
-0.0001997,-2.0,0.4,2.0,1.2000000000000002
-0.0001996,1.2000000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002
-0.0001995,1.2000000000000002,-0.4,0.4,1.2000000000000002
-0.00019940000000000002,1.2000000000000002,1.2000000000000002,0.4,2.0
-0.00019930000000000002,1.2000000000000002,2.8000000000000003,1.2000000000000002,2.0
-0.00019920000000000002,0.4,-2.0,1.2000000000000002,0.4
-0.00019910000000000001,0.4,-0.4,-2.0,0.4
-0.000199,-0.4,2.8000000000000003,1.2000000000000002,2.0
-0.0001989,0.4,1.2000000000000002,1.2000000000000002,0.4
-0.0001988,-0.4,2.8000000000000003,1.2000000000000002,-0.4
-0.0001987,-1.2000000000000002,2.8000000000000003,3.6,0.4
-0.0001986,0.4,1.2000000000000002,1.2000000000000002,1.2000000000000002
-0.0001985,-0.4,-2.8000000000000003,2.0,0.4
-0.0001984,-0.4,3.6,-0.4,1.2000000000000002
-0.00019830000000000002,2.0,0.4,-1.2000000000000002,0.4
-0.00019820000000000002,-2.8000000000000003,0.4,1.2000000000000002,2.8000000000000003
-0.00019810000000000002,1.2000000000000002,-0.4,2.8000000000000003,0.4
-0.00019800000000000002,-0.4,0.4,-0.4,-1.2000000000000002
-0.0001979,-1.2000000000000002,1.2000000000000002,1.2000000000000002,0.4
-0.0001978,0.4,-0.4,5.2,1.2000000000000002
-0.0001977,1.2000000000000002,2.8000000000000003,1.2000000000000002,0.4
-0.0001976,1.2000000000000002,2.0,1.2000000000000002,2.8000000000000003
-0.0001975,2.0,-0.4,1.2000000000000002,-1.2000000000000002
-0.0001974,2.0,3.6,1.2000000000000002,-0.4
-0.0001973,-0.4,0.4,-1.2000000000000002,-0.4
-0.00019720000000000002,-2.0,0.4,-0.4,0.4
-0.00019710000000000002,-1.2000000000000002,-0.4,1.2000000000000002,-1.2000000000000002
-0.00019700000000000002,-0.4,0.4,2.0,0.4
-0.00019690000000000002,-1.2000000000000002,2.8000000000000003,-1.2000000000000002,0.4
-0.0001968,0.4,0.4,0.4,0.4
-0.0001967,-0.4,0.4,0.4,1.2000000000000002
-0.0001966,0.4,2.0,1.2000000000000002,0.4
-0.0001965,0.4,4.4,-0.4,-0.4
-0.0001964,-2.0,2.0,1.2000000000000002,2.0
-0.0001963,-1.2000000000000002,2.0,2.8000000000000003,3.6
-0.0001962,-1.2000000000000002,-1.2000000000000002,-1.2000000000000002,-0.4
-0.0001961,0.4,2.8000000000000003,0.4,0.4
-0.00019600000000000002,-1.2000000000000002,2.8000000000000003,2.0,0.4
-0.00019590000000000002,-0.4,2.0,1.2000000000000002,-2.0
-0.00019580000000000002,-2.0,1.2000000000000002,1.2000000000000002,1.2000000000000002
-0.0001957,-3.6,-0.4,0.4,0.4
-0.0001956,0.4,1.2000000000000002,-0.4,0.4
-0.0001955,2.0,2.8000000000000003,1.2000000000000002,3.6
-0.0001954,0.4,2.8000000000000003,-0.4,1.2000000000000002
-0.0001953,0.4,1.2000000000000002,0.4,0.4
-0.0001952,1.2000000000000002,2.8000000000000003,0.4,-1.2000000000000002
-0.0001951,-1.2000000000000002,0.4,-0.4,-1.2000000000000002
-0.00019500000000000002,-0.4,-0.4,0.4,0.4
-0.00019490000000000002,1.2000000000000002,2.0,2.0,2.0
-0.00019480000000000002,-1.2000000000000002,1.2000000000000002,-2.0,2.0
-0.00019470000000000002,0.4,1.2000000000000002,2.0,2.0
-0.00019460000000000001,-0.4,0.4,-0.4,1.2000000000000002
-0.0001945,0.4,3.6,0.4,0.4
-0.0001944,-0.4,3.6,2.0,2.0
-0.0001943,1.2000000000000002,1.2000000000000002,3.6,2.0
-0.0001942,-1.2000000000000002,0.4,-0.4,0.4
-0.0001941,0.4,2.0,-0.4,-1.2000000000000002
-0.000194,0.4,2.0,-0.4,-0.4
-0.0001939,0.4,2.0,1.2000000000000002,0.4
-0.00019380000000000002,-2.0,2.0,-1.2000000000000002,-2.0
-0.00019370000000000002,-0.4,2.8000000000000003,2.0,1.2000000000000002
-0.00019360000000000002,0.4,0.4,-0.4,0.4
-0.00019350000000000001,-0.4,2.0,1.2000000000000002,-1.2000000000000002
-0.0001934,0.4,1.2000000000000002,2.0,0.4
-0.0001933,1.2000000000000002,1.2000000000000002,-1.2000000000000002,0.4
-0.0001932,0.4,3.6,3.6,0.4
-0.0001931,0.4,-1.2000000000000002,1.2000000000000002,2.0
-0.000193,-1.2000000000000002,2.8000000000000003,1.2000000000000002,-1.2000000000000002
-0.0001929,-0.4,-0.4,-0.4,0.4
-0.0001928,1.2000000000000002,2.0,2.0,1.2000000000000002
-0.00019270000000000002,-0.4,0.4,0.4,2.0
-0.00019260000000000002,-0.4,-0.4,1.2000000000000002,0.4
-0.00019250000000000002,-0.4,4.4,2.0,0.4
-0.00019240000000000001,0.4,2.0,-1.2000000000000002,0.4
-0.0001923,-1.2000000000000002,-0.4,3.6,-0.4
-0.0001922,-0.4,2.0,2.8000000000000003,0.4
-0.0001921,-0.4,2.8000000000000003,1.2000000000000002,-1.2000000000000002
-0.000192,-0.4,1.2000000000000002,-0.4,2.8000000000000003
-0.0001919,0.4,1.2000000000000002,0.4,2.0
-0.0001918,1.2000000000000002,2.8000000000000003,2.0,-1.2000000000000002
-0.0001917,-2.8000000000000003,2.0,1.2000000000000002,0.4
-0.00019160000000000002,-0.4,2.0,3.6,0.4
-0.00019150000000000002,0.4,1.2000000000000002,-2.8000000000000003,-1.2000000000000002
-0.00019140000000000002,-1.2000000000000002,1.2000000000000002,1.2000000000000002,2.0
-0.00019130000000000001,0.4,1.2000000000000002,1.2000000000000002,2.8000000000000003
-0.0001912,-1.2000000000000002,0.4,0.4,0.4
-0.0001911,-0.4,2.8000000000000003,-0.4,-2.0
-0.000191,0.4,6.0,0.4,0.4
-0.0001909,-0.4,3.6,2.8000000000000003,-0.4
-0.0001908,-0.4,2.0,2.0,2.0
-0.0001907,0.4,-0.4,0.4,1.2000000000000002
-0.0001906,1.2000000000000002,2.0,2.8000000000000003,-1.2000000000000002
-0.00019050000000000002,-0.4,1.2000000000000002,-0.4,-0.4
-0.00019040000000000002,1.2000000000000002,2.0,2.0,2.0
-0.00019030000000000002,-2.8000000000000003,0.4,1.2000000000000002,2.0
-0.00019020000000000002,-0.4,0.4,-0.4,0.4
-0.0001901,0.4,-1.2000000000000002,0.4,2.8000000000000003
-0.00019,1.2000000000000002,1.2000000000000002,0.4,2.8000000000000003
-0.0001899,0.4,0.4,-0.4,-0.4
-0.0001898,-0.4,-0.4,0.4,-0.4
-0.0001897,-0.4,-0.4,2.0,2.0
-0.0001896,-1.2000000000000002,-0.4,1.2000000000000002,0.4
-0.0001895,-0.4,2.0,1.2000000000000002,-2.8000000000000003
-0.0001894,-1.2000000000000002,2.0,2.8000000000000003,1.2000000000000002
-0.00018930000000000002,-1.2000000000000002,1.2000000000000002,2.0,1.2000000000000002
-0.00018920000000000002,-0.4,3.6,1.2000000000000002,0.4
-0.00018910000000000002,-0.4,-0.4,-2.0,1.2000000000000002
-0.000189,-0.4,0.4,1.2000000000000002,-0.4
-0.0001889,0.4,2.8000000000000003,2.0,1.2000000000000002
-0.0001888,-2.0,2.0,1.2000000000000002,0.4
-0.0001887,0.4,2.8000000000000003,0.4,2.0
-0.0001886,1.2000000000000002,4.4,0.4,2.0
-0.0001885,-0.4,0.4,-0.4,1.2000000000000002
-0.0001884,-2.0,1.2000000000000002,3.6,1.2000000000000002
-0.00018830000000000002,2.0,2.8000000000000003,-0.4,2.8000000000000003
-0.00018820000000000002,-2.8000000000000003,-0.4,2.0,1.2000000000000002
-0.00018810000000000002,-1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002
-0.00018800000000000002,0.4,2.0,0.4,-2.0
-0.00018790000000000001,-1.2000000000000002,0.4,2.0,2.0
-0.0001878,0.4,2.0,2.8000000000000003,2.0
-0.0001877,-0.4,1.2000000000000002,1.2000000000000002,0.4
-0.0001876,1.2000000000000002,2.8000000000000003,-0.4,0.4
-0.0001875,-1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002
-0.0001874,-0.4,-0.4,1.2000000000000002,-1.2000000000000002
-0.0001873,0.4,2.8000000000000003,-2.0,2.8000000000000003
-0.0001872,0.4,2.8000000000000003,1.2000000000000002,2.0
-0.00018710000000000002,0.4,0.4,-1.2000000000000002,2.0
-0.00018700000000000002,-2.8000000000000003,0.4,-0.4,-1.2000000000000002
-0.00018690000000000002,-0.4,1.2000000000000002,1.2000000000000002,0.4
-0.00018680000000000001,-1.2000000000000002,2.8000000000000003,-0.4,-1.2000000000000002
-0.0001867,-1.2000000000000002,2.0,2.0,-0.4
-0.0001866,0.4,3.6,-0.4,-1.2000000000000002
-0.0001865,1.2000000000000002,2.8000000000000003,0.4,-1.2000000000000002
-0.0001864,0.4,0.4,1.2000000000000002,0.4
-0.0001863,2.0,-1.2000000000000002,1.2000000000000002,2.0
-0.0001862,-0.4,1.2000000000000002,2.0,-2.0
-0.00018610000000000002,-2.0,0.4,1.2000000000000002,-0.4
-0.00018600000000000002,0.4,3.6,4.4,1.2000000000000002
-0.00018590000000000002,0.4,2.0,2.8000000000000003,0.4
-0.00018580000000000002,0.4,0.4,0.4,2.0
-0.00018570000000000001,-1.2000000000000002,1.2000000000000002,2.0,1.2000000000000002
-0.0001856,-1.2000000000000002,2.0,1.2000000000000002,0.4
-0.0001855,-1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002
-0.0001854,-2.0,1.2000000000000002,2.0,0.4
-0.0001853,-0.4,-0.4,1.2000000000000002,0.4
-0.0001852,0.4,2.8000000000000003,1.2000000000000002,-1.2000000000000002
-0.0001851,0.4,2.8000000000000003,1.2000000000000002,-0.4
-0.000185,1.2000000000000002,1.2000000000000002,1.2000000000000002,-0.4
-0.00018490000000000002,1.2000000000000002,-0.4,2.8000000000000003,2.0
-0.00018480000000000002,-0.4,0.4,0.4,-0.4
-0.00018470000000000002,0.4,0.4,1.2000000000000002,0.4
-0.00018460000000000001,0.4,1.2000000000000002,0.4,0.4
-0.0001845,0.4,2.0,0.4,-0.4
-0.0001844,-1.2000000000000002,1.2000000000000002,-0.4,4.4
-0.0001843,-0.4,-1.2000000000000002,2.0,2.0
-0.0001842,-1.2000000000000002,3.6,0.4,-0.4
-0.0001841,2.0,-1.2000000000000002,1.2000000000000002,2.0
-0.000184,-2.0,3.6,-0.4,1.2000000000000002
-0.00018390000000000002,-0.4,2.8000000000000003,-1.2000000000000002,1.2000000000000002
-0.00018380000000000002,0.4,0.4,0.4,1.2000000000000002
-0.00018370000000000002,0.4,1.2000000000000002,-2.0,-0.4
-0.00018360000000000002,2.0,1.2000000000000002,1.2000000000000002,2.8000000000000003
-0.00018350000000000002,-2.0,2.8000000000000003,2.8000000000000003,-0.4
-0.0001834,1.2000000000000002,2.8000000000000003,1.2000000000000002,0.4
-0.0001833,1.2000000000000002,1.2000000000000002,2.0,0.4
-0.0001832,-1.2000000000000002,-0.4,2.0,-1.2000000000000002
-0.0001831,0.4,2.0,2.0,2.8000000000000003
-0.000183,-1.2000000000000002,-2.0,0.4,2.0
-0.0001829,0.4,-0.4,-1.2000000000000002,-0.4
-0.0001828,0.4,2.0,1.2000000000000002,-0.4
-0.0001827,0.4,2.0,0.4,2.0
-0.00018260000000000002,0.4,3.6,0.4,0.4
-0.00018250000000000002,-1.2000000000000002,1.2000000000000002,0.4,0.4
-0.00018240000000000002,0.4,2.0,2.8000000000000003,-0.4
-0.0001823,-0.4,2.8000000000000003,0.4,-2.8000000000000003
-0.0001822,-1.2000000000000002,-0.4,0.4,-1.2000000000000002
-0.0001821,-2.0,2.8000000000000003,-1.2000000000000002,1.2000000000000002
-0.000182,2.8000000000000003,2.0,2.0,-2.8000000000000003
-0.0001819,-2.0,2.8000000000000003,1.2000000000000002,0.4
-0.0001818,-0.4,2.0,-0.4,0.4
-0.00018170000000000003,-1.2000000000000002,2.0,0.4,-0.4
-0.00018160000000000002,-0.4,-0.4,-0.4,1.2000000000000002
-0.00018150000000000002,2.8000000000000003,2.8000000000000003,1.2000000000000002,2.8000000000000003
-0.00018140000000000002,1.2000000000000002,1.2000000000000002,1.2000000000000002,0.4
-0.00018130000000000002,-2.8000000000000003,1.2000000000000002,1.2000000000000002,1.2000000000000002
-0.0001812,-2.0,0.4,-0.4,1.2000000000000002
-0.0001811,0.4,2.0,-0.4,-1.2000000000000002
-0.000181,0.4,2.0,-0.4,0.4
-0.0001809,-1.2000000000000002,2.0,-2.0,-0.4
-0.0001808,0.4,0.4,2.0,0.4
-0.0001807,-0.4,3.6,-0.4,1.2000000000000002
-0.0001806,2.0,-0.4,2.0,0.4
-0.0001805,-0.4,1.2000000000000002,2.8000000000000003,0.4
-0.00018040000000000002,-1.2000000000000002,1.2000000000000002,2.0,-1.2000000000000002
-0.00018030000000000002,-0.4,0.4,-1.2000000000000002,-1.2000000000000002
-0.00018020000000000002,0.4,1.2000000000000002,-1.2000000000000002,0.4
-0.00018010000000000001,-1.2000000000000002,2.8000000000000003,0.4,0.4
-0.00018,0.4,1.2000000000000002,3.6,0.4
-0.0001799,0.4,2.8000000000000003,1.2000000000000002,1.2000000000000002
-0.0001798,-1.2000000000000002,2.0,2.8000000000000003,0.4
-0.0001797,-2.0,1.2000000000000002,0.4,3.6
-0.0001796,-1.2000000000000002,1.2000000000000002,1.2000000000000002,0.4
-0.0001795,-1.2000000000000002,0.4,1.2000000000000002,0.4
-0.00017940000000000002,-2.8000000000000003,2.8000000000000003,1.2000000000000002,0.4
-0.00017930000000000002,-0.4,2.8000000000000003,-2.8000000000000003,1.2000000000000002
-0.00017920000000000002,0.4,1.2000000000000002,2.8000000000000003,1.2000000000000002
-0.00017910000000000002,-0.4,0.4,3.6,0.4
-0.00017900000000000001,-0.4,2.8000000000000003,2.0,-0.4
-0.0001789,0.4,1.2000000000000002,-0.4,-1.2000000000000002
-0.0001788,0.4,2.8000000000000003,0.4,2.0
-0.0001787,1.2000000000000002,2.0,2.0,-0.4
-0.0001786,0.4,2.8000000000000003,0.4,2.0
-0.0001785,1.2000000000000002,3.6,-0.4,-0.4
-0.0001784,0.4,1.2000000000000002,3.6,0.4
-0.0001783,0.4,-0.4,-1.2000000000000002,2.0
-0.00017820000000000002,0.4,1.2000000000000002,0.4,1.2000000000000002
-0.00017810000000000002,1.2000000000000002,0.4,2.0,0.4
-0.00017800000000000002,-1.2000000000000002,2.0,0.4,-1.2000000000000002
-0.00017790000000000001,1.2000000000000002,2.8000000000000003,0.4,1.2000000000000002
-0.0001778,-2.0,2.0,2.0,1.2000000000000002
-0.0001777,-2.0,2.0,-0.4,-2.0
-0.0001776,1.2000000000000002,1.2000000000000002,0.4,0.4
-0.0001775,0.4,1.2000000000000002,-0.4,0.4
-0.0001774,0.4,-0.4,-0.4,-1.2000000000000002
-0.0001773,0.4,2.0,0.4,-1.2000000000000002
-0.00017720000000000002,2.0,0.4,2.0,-1.2000000000000002
-0.00017710000000000002,-2.0,2.8000000000000003,1.2000000000000002,0.4
-0.00017700000000000002,-0.4,-0.4,0.4,-1.2000000000000002
-0.00017690000000000002,0.4,3.6,1.2000000000000002,2.0
-0.00017680000000000001,-0.4,2.8000000000000003,0.4,-0.4
-0.0001767,0.4,-0.4,1.2000000000000002,1.2000000000000002
-0.0001766,-0.4,3.6,1.2000000000000002,2.0
-0.0001765,-2.0,-0.4,-0.4,0.4
-0.0001764,-1.2000000000000002,-1.2000000000000002,-1.2000000000000002,1.2000000000000002
-0.0001763,-1.2000000000000002,2.8000000000000003,1.2000000000000002,-0.4
-0.0001762,1.2000000000000002,2.0,1.2000000000000002,1.2000000000000002
-0.0001761,-0.4,1.2000000000000002,-1.2000000000000002,3.6
-0.000176,0.4,0.4,1.2000000000000002,1.2000000000000002
-0.00017590000000000002,-1.2000000000000002,2.0,0.4,0.4
-0.00017580000000000002,0.4,1.2000000000000002,2.0,1.2000000000000002
-0.00017570000000000002,1.2000000000000002,2.0,2.0,-1.2000000000000002
-0.0001756,-1.2000000000000002,-2.0,1.2000000000000002,0.4
-0.0001755,1.2000000000000002,0.4,-0.4,2.0
-0.0001754,-0.4,-0.4,-1.2000000000000002,2.0
-0.0001753,-1.2000000000000002,0.4,2.0,-1.2000000000000002
-0.0001752,1.2000000000000002,-0.4,-1.2000000000000002,-2.0
-0.0001751,1.2000000000000002,4.4,2.0,-0.4
-0.00017500000000000003,-1.2000000000000002,0.4,-1.2000000000000002,-0.4
-0.00017490000000000002,-1.2000000000000002,0.4,1.2000000000000002,-1.2000000000000002
-0.00017480000000000002,1.2000000000000002,-1.2000000000000002,-0.4,2.0
-0.00017470000000000002,-0.4,2.0,1.2000000000000002,1.2000000000000002
-0.00017460000000000002,0.4,2.8000000000000003,-0.4,3.6
-0.0001745,-1.2000000000000002,1.2000000000000002,-0.4,0.4
-0.0001744,-2.0,2.0,2.0,1.2000000000000002
-0.0001743,-0.4,2.8000000000000003,0.4,0.4
-0.0001742,-0.4,2.0,1.2000000000000002,2.0
-0.0001741,0.4,-1.2000000000000002,2.0,-1.2000000000000002
-0.000174,1.2000000000000002,2.8000000000000003,-0.4,1.2000000000000002
-0.0001739,1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002
-0.0001738,0.4,1.2000000000000002,0.4,-0.4
-0.00017370000000000002,1.2000000000000002,-0.4,-0.4,1.2000000000000002
-0.00017360000000000002,-1.2000000000000002,2.0,1.2000000000000002,-2.8000000000000003
-0.00017350000000000002,-2.0,0.4,2.0,2.0
-0.0001734,0.4,-0.4,2.0,-1.2000000000000002
-0.0001733,-1.2000000000000002,1.2000000000000002,1.2000000000000002,0.4
-0.0001732,-1.2000000000000002,0.4,1.2000000000000002,1.2000000000000002
-0.0001731,-0.4,2.8000000000000003,2.0,1.2000000000000002
-0.000173,2.0,0.4,0.4,0.4
-0.0001729,-0.4,0.4,1.2000000000000002,1.2000000000000002
-0.00017280000000000003,0.4,2.8000000000000003,-0.4,0.4
-0.00017270000000000002,-0.4,0.4,2.8000000000000003,-1.2000000000000002
